psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:5: NOTICE:  PASS: server-owned financial calculation exists
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:6: NOTICE:  PASS: quantity extension and tax round independently at cents
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: prepare creates no financial rows or numbers
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: preparation exact replay
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: changed-input preparation rejected
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: approved exact draft is saved privately
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: one number and one line allocated
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: exact commit replay does not duplicate financial truth
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: changed commit key rejected
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: draft save cannot become delivery
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: incidental update cannot release hold
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: saved revision lines immutable
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:57: NOTICE:  PASS: receipt replay reauthorizes revoked grants
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:58: NOTICE:  PASS: tax matches canonical taxable subtotal rounding
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:70: NOTICE:  PASS: null operation rejected by RPC
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:70: NOTICE:  PASS: null title rejected by RPC
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:70: NOTICE:  PASS: null currency rejected by RPC
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:70: NOTICE:  PASS: null increase_percent rejected by RPC
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:70: NOTICE:  PASS: null issue_date rejected by RPC
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:70: NOTICE:  PASS: null line name rejected by RPC
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:70: NOTICE:  PASS: numeric line name rejected by RPC
